Tobii_Time,LSL_Time,Event,Type
1719.622537,43783.40774,sw_un10,START
1722.636596,43786.4218,Gaze_AOI,AUTO
1723.177325,43786.96252,pb_5,BUTTON
1787.789875,43851.57508,sw_un11,START
1790.920134,43854.70533,Gaze_AOI,AUTO
1791.571623,43855.35682,pb_6,BUTTON
1809.843233,43873.62843,sw_un12,START
1813.040154,43876.82535,Gaze_AOI,AUTO
1813.780336,43877.56554,pb_7,BUTTON
1834.052809,43897.83801,sw_un13,START
1837.284016,43901.06922,Gaze_AOI,AUTO
1837.924022,43901.70922,pb_0,BUTTON
1877.498466,43941.28367,sw_un14,START
1880.843,43944.628,Gaze_AOI,MANUAL
1880.949389,43944.73459,pb_1,BUTTON
1900.531038,43964.31624,sw_un15,START
1903.764292,43967.54949,Gaze_AOI,AUTO
1904.112674,43967.89787,pb_2,BUTTON
2000.382429,44064.16763,sw_un16,START
2004.066,44067.851,Gaze_AOI,MANUAL
2004.190117,44067.97532,pb_3,BUTTON
2021.367255,44085.15245,sw_un17,START
2024.850235,44088.63543,pb_4,BUTTON
2046.161798,44109.947,sw_un17-r,START
2049.508,44113.293,Gaze_AOI,MANUAL
2050.156307,44113.94151,pb_5,BUTTON
2077.495575,44141.28078,sw_un18,START
2081.125,44144.91,Gaze_AOI,MANUAL
2081.199737,44144.98494,pb_6,BUTTON
2112.873366,44176.65857,sw_un20,START
2116.309,44180.094,Gaze_AOI,MANUAL
2116.507414,44180.29261,pb_7,BUTTON
2160.131574,44223.91677,sw_un21,START
2163.675,44227.46,Gaze_AOI,MANUAL
2164.02952,44227.81472,pb_0,BUTTON
2229.710313,44293.49551,sw_un23,START
2232.88,44296.665,Gaze_AOI,MANUAL
2233.056903,44296.8421,pb_1,BUTTON
2266.301941,44330.08714,sw_un24,START
2269.466,44333.251,Gaze_AOI,MANUAL
2269.766093,44333.55129,pb_2,BUTTON
2321.138619,44384.92382,sw_un25,START
2324.085,44387.87,Gaze_AOI,MANUAL
2324.529593,44388.31479,pb_3,BUTTON
2353.154231,44416.93943,sw_un26,START
2356.543,44420.329,Gaze_AOI,MANUAL
2356.936053,44420.72125,pb_4,BUTTON
