label,lsl_time
sw_Move1,249688.33131975567
sw_Move2,249702.6806053426
sw_Move3,249717.53020162918
sw_F2T1,249756.44762039388
sw_F1T1,249772.7079491791
sw_U1,249789.1292014642
sw_F4T1,249806.16876094876
sw_U2,249822.41784563405
sw_U3,249838.61260941933
sw_F2T2,249855.21257750428
sw_F5T1,249906.04847865817
sw_F4T2,249922.6943510431
sw_U4,249938.78301152846
sw_F3T1,249955.3102161135
sw_U5,249970.99408029925
sw_F1T2,249988.40981008348
sw_F5T2,250004.5944474688
sw_U6,250020.6845479542
sw_U7,250037.07745173931
sw_U8,250053.67545682428
sw_F3T2,250069.39595141003
sw_U9,250085.90821679504
sw_F2T3,250102.33216848012
sw_U10,250118.22659586574
sw_U11,250134.7700433507
sw_F3T3,250150.59689183635
sw_F5T3,250166.29862552212
sw_U12,250272.1887555261
sw_F4T3,250288.7119625111
sw_U13,250304.84464879645
sw_U14,250320.60880338217
sw_F5T4,250336.5450602677
sw_U15,250352.8598643529
sw_F3T4,250368.37164383882
sw_U16,250384.1891263245
sw_F2T4,250400.72124150948
sw_F1T3,250417.27225739448
sw_U17,250432.88733778032
sw_U18,250449.58854136517
sw_F5T5,250465.96938385032
sw_U19,250481.78560383598
sw_U20,250498.15200762113
sw_F3T5,250524.30491069742
sw_F1T4,250540.55158648267
sw_U21,250556.45728116826
sw_U22,250573.40643035286
sw_F1T5,250590.3685657375
sw_F1T5,250594.60775333364
sw_F4T4,250608.4129310211
sw_F2T5,250624.70341660635
sw_U23,250640.70330939183
sw_U24,250656.6333650774
sw_F5T6,250675.02400106072
sw_U25,250691.78797994548
sw_U26,250707.98957593078
sw_U27,250723.60037531666
sw_F2T6,250740.53323260127
sw_F5T7,250756.298427687
sw_U28,250772.53684977227
sw_F4T5,250789.43172785692
sw_F2T7,250805.6689333422
sw_U29,250821.82516232753
sw_F1T6,250837.81969411304
sw_F4T6,250854.20163669816
sw_U30,250870.84461248308
