LABEL,FINAL
sw_Move1,249689.4722
sw_Move2,249702.792
sw_Move3,249718.094
sw_F2T1,249757.4276
sw_F1T1,249772.754
sw_U1,249789.0681
sw_F4T1,249806.0925
sw_U2,249822.4599
sw_U3,249838.9273
sw_F2T2,249854.8168
sw_F5T1,249906.0063
sw_F4T2,249922.7109
sw_U4,249938.8854
sw_F3T1,249955.2312
sw_U5,249966.4045
sw_F1T2,249988.5201
sw_F5T2,250004.6219
sw_U6,250020.9875
sw_U7,250037.5174
sw_U8,250053.8889
sw_F3T2,250070.2659
sw_U9,250085.9469
sw_F2T3,250102.4568
sw_U10,250118.2544
sw_U11,250135.35
sw_F3T3,250150.4775
sw_F5T3,250166.2996
sw_F4T3,250288.5982
sw_U13,250304.6325
sw_U14,250320.3577
sw_F5T4,250336.8463
sw_U15,250352.596
sw_F3T4,250368.5368
sw_U16,250384.1982
sw_F2T4,250400.7176
sw_F1T3,250416.8862
sw_U17,250432.8338
sw_U18,250449.4942
sw_F5T5,250466.4085
sw_U19,250481.589
sw_U20,250498.0257
sw_F3T5,250524.4846
sw_F1T4,250540.3327
sw_U21,250557.071
sw_U22,250573.4208
sw_F1T5,250590.3989
sw_F4T4,250608.5098
sw_F2T5,250624.5762
sw_U23,250640.7706
sw_U24,250657.049
sw_F5T6,250674.8661
sw_U25,250691.4243
sw_U26,250707.4406
sw_U27,250723.4316
sw_F2T6,250741.3015
sw_F5T7,250756.5092
sw_U28,250772.2759
sw_F4T5,250789.4227
sw_F2T7,250805.6404
sw_U29,250822.2926
sw_F1T6,250837.869
sw_F4T6,250854.6054
sw_U30,250871.0189
