trial_index,bad_channels
0,"T7,O2"
1,O2
2,"T7,O2"
3,"Cz,Pz,T7,T8,P7,P8,O2"
4,"T7,O2"
5,"T7,O2"
6,"Cz,Pz,T7,T8,P7,P8,O1,O2"
7,"T7,O2"
8,"Cz,Pz,T7,T8,P7,P8,O1,O2"
9,"Cz,Pz,T7,T8,P7,P8,O1,O2"
10,"Cz,Pz,T7,T8,P7,P8,O1,O2"
11,"T7,O1,O2"
12,"T7,O2"
13,"Cz,T7,P8,O1,O2"
14,"Cz,Pz,T7,T8,P7,P8,O1,O2"
16,O2
17,"T7,O2"
18,"Pz,T7,T8,P7,P8,O1,O2"
19,"Pz,T8,P8,O2"
20,"Cz,Pz,T7,T8,P7,P8,O1,O2"
21,O2
22,"T7,P8,O2"
23,"T7,O2"
24,"T7,O2"
25,O2
26,O2
27,"T7,O2"
28,"T7,O2"
29,"Pz,T7,O2"
30,"T7,O2"
31,"T7,O2"
32,"P8,O2"
33,"T7,O2"
34,"T7,O2"
35,O2
36,O2
37,"T7,O2"
38,"Cz,Pz,T7,T8,P7,P8,O1,O2"
40,"T7,O2"
41,"T7,O2"
42,"T7,T8,P8,O2"
43,"Cz,Pz,T7,T8,P7,P8,O1,O2"
44,O2
45,"Pz,T7,P8,O1,O2"
46,T7
47,"T7,P8,O2"
48,"T7,P8,O2"
49,"T7,T8,P7,P8,O2"
50,"T7,O2"
51,"T7,O2"
52,O2
53,"T7,O2"
54,"T7,P8,O2"
55,"T7,P8,O2"
56,"Pz,T7,T8,P7,P8,O2"
57,"T7,O2"
58,"T7,O2"
59,"Cz,Pz,T7,T8,P7,P8,O1,O2"
60,"T7,O2"
61,"Cz,Pz,T7,T8,P7,P8,O1,O2"
62,"Cz,Pz,T7,T8,P7,O1,O2"
