condition,Cz_mean,Cz_median,Cz_max,Cz_min,Cz_ptp,Cz_std,Cz_skew,Cz_auc,Cz_kurtosis,Pz_mean,Pz_median,Pz_max,Pz_min,Pz_ptp,Pz_std,Pz_skew,Pz_auc,Pz_kurtosis,P7_mean,P7_median,P7_max,P7_min,P7_ptp,P7_std,P7_skew,P7_auc,P7_kurtosis,P8_mean,P8_median,P8_max,P8_min,P8_ptp,P8_std,P8_skew,P8_auc,P8_kurtosis,O1_mean,O1_median,O1_max,O1_min,O1_ptp,O1_std,O1_skew,O1_auc,O1_kurtosis,O2_mean,O2_median,O2_max,O2_min,O2_ptp,O2_std,O2_skew,O2_auc,O2_kurtosis,N250avg_mean,N250avg_median,N250avg_max,N250avg_min,N250avg_ptp,N250avg_std,N250avg_skew,N250avg_auc,N250avg_kurtosis,P300avg_mean,P300avg_median,P300avg_max,P300avg_min,P300avg_ptp,P300avg_std,P300avg_skew,P300avg_auc,P300avg_kurtosis
Unf,74.27471483914324,74.12754348479211,78.51634291000664,69.87204687902704,8.644296030979604,2.3478514171512868,0.12225554088967855,7.394727577934917,2.322738450108638,11.89017327235958,11.91659202959272,13.562917956733145,10.054933227365837,3.5079847293673083,0.8932458566808608,-0.09516646333425557,1.1837895893465367,2.8512432091251663,-22.561102363957055,-22.486200577986892,-21.79027615056839,-23.589684133185074,1.7994079826166853,0.5515130182266944,-0.2748135142542144,-2.2445539972282003,2.107539331549086,-4.488445221375934,-4.467357257453841,-4.000294666184345,-5.022088316763984,1.0217936505796388,0.3039013802556809,-0.22548861729477604,-0.4469761290194757,2.1961268891631756,-91.02700585991933,-91.23941345023923,-85.627798398491,-99.00899021886289,13.381191820371896,3.585837840495764,-0.4252889516678458,-9.052326675598135,2.9005166334229964,-0.572742703862052,-0.9613540115083197,19.852632249239832,-12.770627108693589,32.62325935793342,10.026849679784137,0.5393363898485511,-0.07171699746505687,2.3016517597600337,-29.66232403727859,-29.78858132429707,-22.891434241500974,-35.097847444376384,12.20641320287541,3.617025479690569,-0.09656367334207125,-2.9538934498277167,2.376458653473823,43.08244405575141,43.02206775719242,46.039630433369894,39.96349005319644,6.076140380173456,1.6205486369160738,0.013544538777711487,4.289258583640727,2.5869908296169024
Unf,-38.02745718180981,-41.21039091842249,52.390350901987404,-115.59068661881611,167.9810375208035,34.18071072560112,0.5008180403249701,-3.626205869230295,4.52730538339456,-15.134944012865722,-17.215849766216706,11.668429579003714,-29.73885420942679,41.407283788430505,10.177764748288999,1.2705600419733474,-1.5215768061682455,4.327520043710143,0.03951959771396874,-1.483560595261224,29.931350582046434,-23.49868736928329,53.43003795132972,12.878450352711356,0.6606259791636376,0.022613142933203153,3.7007357652225394,2.8221445102889655,2.3601915017934516,8.396817975153681,-2.623781938382308,11.020599913535989,2.60557173811757,0.22168937073091732,0.28070133790621127,2.7949326091332467,11.407617456335664,6.119373210822232,147.12537813466042,-97.75910439202562,244.88448252668604,59.83359117370562,0.5253193285268103,1.2299300346985473,3.1428912853839623,49.59601843578499,27.370724637876265,168.8000775175169,-50.39415918872692,219.19423670624383,63.89827587565901,0.3834105728735368,4.822677992597599,1.9299693450227067,15.966325000030897,8.591682188807681,88.56340605234436,-43.56893322210453,132.1323392744489,34.80397228504839,0.4477613128237255,1.5889806270338902,2.892132251190614,-26.581200597337766,-29.2131203423196,32.02939024049556,-72.66477041412145,104.69416065461701,22.17923773694506,0.8856890411491587,-2.57389133769927,4.427412713552352
Fam,48.95353714136245,53.49289676814806,68.63554881419986,22.76875420648139,45.866794607718475,15.059963825677743,-0.6278269076621161,4.892507778308809,2.021830733200068,20.614578855971697,21.110866327944677,30.597228033002466,11.095714398834389,19.501513634168077,6.139692937326883,-0.13527570673104702,2.052321032029266,1.8540847274127676,-2.7292109140174805,-6.354132892738562,10.407899026176892,-9.99908570520347,20.406984731380362,6.721867347722998,0.6238409826152944,-0.2863220491333386,1.7395864985335938,-1.164348729568806,-1.2594300642376766,0.9191639378514083,-3.589826974348398,4.508990912199806,1.5033191926027185,-0.17705841467582792,-0.11506404137596556,1.7481623211821509,25.310065027475467,7.654386081412667,85.14803630532697,-1.3660022659678361,86.5140385712948,28.265750344463612,0.7947278191582545,2.4368908105409526,2.0271589873798894,-60.83202732462758,-55.64826096815523,-39.612121327081695,-97.2932975855656,57.6811762584839,17.387115192468677,-0.546429169931913,-5.93935434457909,1.9740404614987652,-9.8538804851846,-13.9018594609297,14.215744485568393,-28.062053132771325,42.27779761833972,13.469513019314501,0.17377030429145196,-0.9759624061368605,1.8722370671485997,34.78405799866707,37.30188154804637,49.616388423601165,16.93223430265789,32.684154120943276,10.599828381502313,-0.3815513071965816,3.4724144051690375,1.9379577303064177
Unf,24.530813750909775,29.937521503597964,46.92984657594934,-11.434989573899657,58.364836149849,19.12658220480397,-0.6194783305485823,2.5177840473405744,1.9774273949320362,7.371589428719115,8.222470114560565,16.20413240743801,-5.8858813645201735,22.090013771958183,6.379951377757738,-0.3072550123061106,0.7648474617456873,1.950784044012353,-0.5320136974552324,-1.9449210526545357,6.59597071717144,-3.5500449939718237,10.146015711143264,2.988196763523846,1.2573059857615412,-0.04804372310432281,3.426972306972806,-0.10988399796911626,0.49797401402429387,1.262144792235631,-2.973427399410866,4.235572191646497,1.3184995098225345,-0.98208610967301,-0.006461340494960567,2.714346150858849,-9.829528533618241,-14.061333786230534,29.59016819659155,-33.04700294393115,62.637171140522696,19.121743935596612,0.6022260940839032,-0.9769543510853521,2.1904631982470244,10.980236476088889,12.650390544877155,70.63209341140464,-80.4862575023435,151.11835091374815,46.415201598430116,-0.3782280418671532,1.197055807756306,1.8517662369263421,0.12720256176157463,-0.7144725699959054,27.020094279350815,-30.014183209914336,57.03427748926515,17.460910451843276,0.12480448207632028,0.041399098267917656,2.545886973251255,15.951201589814445,19.079995809079264,31.566989491693676,-8.660435469209915,40.22742496090359,12.753266791280854,-0.46336667142734644,1.6413157545431307,1.9641057194721947
Fam,-12.210749380651228,-7.1741119427315425,-1.9058408042837982,-27.16483322728891,25.25899242300511,9.935075379789362,-0.350339853377858,-1.2036560571480466,1.228030189745677,-6.298750078643095,-5.692832246495527,-2.590879375929944,-10.066283721243963,7.475404345314018,2.6272464630765704,-0.09555656565671992,-0.6221355822825975,1.4506012364156953,2.2638346376989094,2.5663780434115324,4.042959972139215,-0.24715399149499717,4.290113963634212,1.314862450622188,-0.5109358086924616,0.2318426996837669,2.019019589610461,1.5241711253111134,1.6582199009462784,2.0149352621956496,0.31684191981184995,1.6980933423837996,0.4208455368199703,-1.5497950656030604,0.1537301073655266,5.025410048148094,-6.645926050648125,-5.4821355206513545,1.7012108628478018,-20.96050593536347,22.661716798211273,7.146027949442477,-0.943511048401951,-0.6382641173407856,2.638894129537558,45.202603150056134,42.067753383889794,66.79294892819598,15.606447050231509,51.186501877964474,14.008979107912484,0.013856047237169778,4.519954239210973,2.4063175091858886,10.586170715604508,10.202553951899063,18.638013756344662,-1.3210927392037775,19.95910649554844,5.72267876119928,-0.7475964688650757,1.0668157322298701,3.0224103191205005,-9.25474972964716,-6.433472094613535,-2.248360090106871,-18.615558474266436,16.367198384159565,6.281160921432966,-0.22294820951728897,-0.9128958197153221,1.339315713080686
Unf,14.90286451126639,25.79247211542679,46.495304559357464,-26.64417479536496,73.13947935472243,27.700150024248842,-0.30489213514415053,1.476734287207654,1.254566986160851,11.141990982220197,15.248265299305785,19.457724192761816,-2.4142539132299135,21.87197810599173,7.989351378343651,-0.7029521770124487,1.1188381412700186,1.7294191632145397,5.076876777096664,5.304023943608627,14.013385225553066,-2.487915480742231,16.501300706295297,4.6799950645629655,0.2693914006779668,0.5094279140006238,2.316662244448941,0.2264425072237777,0.4328895357730289,1.507783736087731,-2.102910229950794,3.610693966038525,0.9056667132134876,-0.9067974487804471,0.028459645811310958,3.7701478899849095,38.65741407830333,41.98940041533206,84.55743954982609,-3.4005702218564693,87.95800977168255,25.591450235246437,0.11237437501016337,3.8372800779516507,2.1542453908939243,-41.4925352874189,-46.494120397255756,14.149657545203809,-106.3350573531352,120.484714898339,39.99135619543737,-0.09371041692016459,-3.977959225999058,1.5821690126853134,0.6170495188012186,0.30804837436448906,28.557066514167673,-28.581613321421173,57.138679835588846,17.792117052115067,-0.1546855225031204,0.09930210294113184,2.455806134503272,13.022427746743293,20.520368707366288,32.97651437605964,-14.529214354297437,47.50572873035708,17.844750701296245,-0.5039221560782996,1.2977862142388363,1.4919930746876955
Unf,-12.959550354288204,-13.204693459556438,0.6408189960893651,-23.349106413661502,23.989925409750867,7.343185252756727,0.3481465208318738,-1.3354021805063017,2.0463864527597457,2.5942949679784553,2.7371439728085534,6.6541097112349235,-0.9108744052355178,7.564984116470441,2.1934591533144894,-0.008826935335659916,0.24955011779193187,2.1338901352338033,3.5118354512283427,3.500375100884412,8.715563126315828,-2.900315394072095,11.615878520387923,4.276883302280903,-0.2216863375530916,0.3548489121204326,1.3525631585818652,-0.014784004448004522,0.08528219908043866,1.2738528312183917,-1.59602393523528,2.8698767664536717,0.9805142520487089,-0.23842439317296324,0.0006456801485685885,1.662797362506804,25.59307240910759,25.251145416405052,45.91299875755794,-0.6492509214695019,46.562249679027445,16.737673621066676,-0.20507545130792243,2.5648338238846033,1.3173070402630562,-31.11016093708503,-29.588828510895837,-20.678446162492037,-46.44184809876606,25.763401936274022,6.811094354202515,-0.6450856908267781,-3.0669934314928864,2.8552413479094767,-0.5050092702992748,-0.18800644863148364,8.805992138150032,-12.896859587385734,21.702851725535766,7.201541382399702,-0.32756796821518885,-0.03666625383482047,1.7969772273153006,-5.182627693154874,-5.233774743373942,3.6474643536621443,-12.12999040944851,15.777454763110654,4.768322203035608,0.16965979274810694,-0.5429260313571849,2.0901382939967745
Unf,-45.6922543190348,-45.70396777126007,-40.17592073068954,-50.23639096179977,10.06047023111023,3.1329039982612894,0.0939337006363399,-4.5566297724933005,1.9572786563135565,-16.525501520775904,-16.596837667748332,-15.388384781545028,-17.60952545737382,2.221140675828792,0.6692384123440319,0.19738411685305607,-1.6483123523444754,1.8920427393937267,4.3602235389418915,4.134800065003219,5.744440841226606,2.877535507650464,2.866905333576142,0.8797959257441501,0.12374610226909262,0.4307672249607671,1.659083211886587,3.0550451391228797,2.928043613792397,3.652756959127146,2.701027369766962,0.951729589360184,0.2831943202804679,0.62862832875404,0.30261296850734787,2.2494317910460575,-2.3805137788512045,-2.7477879029902397,3.750549922187929,-7.927899787318893,11.678449709506822,3.284358791428646,0.24642909668412147,-0.24523907967137798,2.1447786717551764,76.18254536422543,75.03720189561136,89.13595229387283,70.93454769346863,18.201404600404203,4.834617903922241,1.35232057099768,7.557644052161979,4.2242041509603965,20.30432506585975,19.838064417854184,25.57092500410363,17.14630269589179,8.424622308211838,2.320491735343876,0.5877810246762335,2.011446291489679,2.5693744564120546,-31.108877919905353,-31.1504027195042,-27.782152756117284,-33.922958209586795,6.140805453469511,1.9010712053026606,0.145658908744698,-3.102471062418888,1.9246606978536416
Unf,-1.3148557382709651,-1.8376356365479296,34.28069248911925,-38.25674866675399,72.53744115587324,28.149746876767978,-0.07897032054934316,-0.14134513867791254,1.1967934535085833,-5.576385704513926,-9.245042292604921,21.651181668858044,-29.773380447295494,51.42456211615354,15.78447638900908,0.07738264180523777,-0.5618919685621656,1.6594639549789982,-18.503035719801957,-15.67916933709057,-1.2937238125232398,-42.11898703943007,40.82526322690683,13.959992067059384,-0.4653918408973831,-1.8607997944456431,1.723725695847434,2.310237105208356,2.6098902026205906,3.2653465495968703,0.1447469912818633,3.120599558315007,0.8864171911273536,-0.9079585592951239,0.2376884951383791,2.797489987763288,-124.54932451733978,-114.46615098975599,-29.31709423137363,-259.45756351575255,230.14046928437892,79.10099292619978,-0.4714392582242049,-12.554359599167345,1.7405623535172783,201.57149349240802,199.41086793551221,376.9072354771197,62.109960708767176,314.7972747683525,103.08390789833685,0.38941811689682343,20.43138235432663,1.7964163859686362,15.207342590118657,17.96885945282156,87.39044099570492,-59.830460713783395,147.22090170948832,49.25782752068084,-0.3638428853799721,1.563477863963005,2.0145486057741593,-3.4456207213924452,-5.5413389645764255,27.965937078988645,-34.01506455702474,61.98100163601339,21.96711163288853,-0.0007938393720526987,-0.3516185536200391,1.428128704243791
Fam,22.464874597552317,26.98243952181656,35.356231819605455,-10.686320820241235,46.04255263984669,13.084972988453409,-1.1346954222031955,2.3370644764627904,3.326441339182321,9.8169286071827,12.750538644468179,14.30485826858785,-7.765337613818701,22.07019588240655,5.89358338806998,-1.8085559063799308,1.0213005775160735,5.70228129143828,2.824011426688217,2.8160595775261754,7.545375865447568,-3.4845929803850595,11.029968845832627,2.809622368530602,-0.11556811403349683,0.29104360542138225,2.419648917731541,1.541220790648787,0.4560320405744278,7.956240551720839,-2.783025820463081,10.73926637218392,4.056998741430945,0.4940626349050523,0.1506710332595036,1.5486755884303285,-12.433579439192936,-12.040321962558664,38.858430343680084,-85.6858168845065,124.54424722818658,40.4213713756027,-0.2974434674009454,-1.1659187408889942,1.6643415280789013,53.566342767925775,27.323523681843653,278.9401914924383,-97.36773790791631,376.3079294003546,142.74422726124243,0.4286533913318987,5.183146702374037,1.5536475293657324,11.374498886517461,4.638823334346398,83.3250595633217,-47.330293398317735,130.65535296163944,47.50805493670167,0.1274261112006272,1.1147356500414822,1.7965783909016257,16.140901602367506,19.86648908314237,24.830545044096652,-9.225829217029968,34.05637426112662,9.489278188261695,-1.471625664291563,1.679182526989432,4.514361315310301
