trial_index,bad_channels
0,"Cz,O1,O2"
1,"Cz,O1,O2"
2,O2
3,O2
5,"Cz,O2"
6,O2
7,"Cz,O1,O2"
8,"O1,O2"
9,"Cz,O2"
10,"O1,O2"
11,"Cz,O1,O2"
12,O2
13,O2
14,"Cz,O1,O2"
15,"Cz,O1,O2"
16,"Cz,O1,O2"
17,"O1,O2"
19,"O1,O2"
20,O2
21,O2
23,O2
24,O2
25,"O1,O2"
26,"Cz,O1,O2"
28,"Cz,O1,O2"
29,O2
31,O2
32,O2
33,"Cz,O1,O2"
34,O2
35,"Cz,O1,O2"
36,O2
41,O2
43,O2
