condition,Cz_mean,Cz_median,Cz_max,Cz_min,Cz_ptp,Cz_std,Cz_skew,Cz_auc,Cz_kurtosis,Pz_mean,Pz_median,Pz_max,Pz_min,Pz_ptp,Pz_std,Pz_skew,Pz_auc,Pz_kurtosis,P7_mean,P7_median,P7_max,P7_min,P7_ptp,P7_std,P7_skew,P7_auc,P7_kurtosis,P8_mean,P8_median,P8_max,P8_min,P8_ptp,P8_std,P8_skew,P8_auc,P8_kurtosis,O1_mean,O1_median,O1_max,O1_min,O1_ptp,O1_std,O1_skew,O1_auc,O1_kurtosis,O2_mean,O2_median,O2_max,O2_min,O2_ptp,O2_std,O2_skew,O2_auc,O2_kurtosis,N250avg_mean,N250avg_median,N250avg_max,N250avg_min,N250avg_ptp,N250avg_std,N250avg_skew,N250avg_auc,N250avg_kurtosis,P300avg_mean,P300avg_median,P300avg_max,P300avg_min,P300avg_ptp,P300avg_std,P300avg_skew,P300avg_auc,P300avg_kurtosis
Mov,-105.00504346020115,-98.65222455118783,3.3270091535086976,-234.4641980016604,237.7912071551691,56.74567130583614,-0.6822614605132269,-10.464559648880822,3.421870274750564,-105.00504346020115,-98.65222455118783,3.3270091535086976,-234.4641980016604,237.7912071551691,56.74567130583614,-0.6822614605132269,-10.464559648880822,3.421870274750564,-68.04319625294178,-69.92339694988914,20.954392311978154,-146.6057583456859,167.56015065766405,44.576559170410256,0.131763798070159,-6.798580362556095,2.475625673139963,-68.36787830567258,-70.25705053820275,21.05438215949107,-147.30531256645918,168.35969472595025,44.78926505633104,0.13176390240396516,-6.831021180005337,2.475625582633749,-68.47933690761027,-70.37158866296522,21.08870648953598,-147.54546282347292,168.6341693130089,44.86228407009718,0.131763896665265,-6.842157632490853,2.475625541473877,-68.24820523503989,-70.13406866462901,21.017527615185827,-147.04746718052775,168.06499479571357,44.71086487646487,0.13176384318447523,-6.819063957664184,2.475625630011216,-68.28465417531613,-70.17152620392153,21.028752144047758,-147.12600022903644,168.1547523730842,44.734743293325835,0.1317638600809661,-6.822705783179117,2.475625606814701,-105.00504346020115,-98.65222455118783,3.3270091535086976,-234.4641980016604,237.7912071551691,56.74567130583614,-0.6822614605132269,-10.464559648880822,3.421870274750564
Mov,-128.78501120912216,-113.39942284394056,-27.964140826952644,-297.1359936054796,269.17185277852695,75.98374298606785,-0.9527792756592436,-12.87310373299988,2.920986344978367,-128.78501120912216,-113.39942284394056,-27.964140826952644,-297.1359936054796,269.17185277852695,75.98374298606785,-0.9527792756592436,-12.87310373299988,2.920986344978367,-150.5608437442928,-143.64090020535514,-18.399112377665006,-281.57117776572704,263.17206538806204,69.94958091502524,-0.08552594882630182,-15.382217123260489,2.2213556669841146,-151.2792794948417,-144.32631724048406,-18.48690772021655,-282.91475609876215,264.4278483785456,70.28336249855545,-0.08552603221510004,-15.455616918188753,2.2213558007606435,-151.52590486440414,-144.56160715781152,-18.5170465556439,-283.37599360384047,264.85894704819657,70.3979421097916,-0.08552599491202742,-15.480813664908055,2.2213557949151403,-151.0144742356855,-144.073688716162,-18.45454789872747,-282.41955442354083,263.96500652481336,70.16033659328797,-0.08552607272776247,-15.428562790475553,2.2213558511218188,-151.09512558480606,-144.15062832995318,-18.46440363806323,-282.5703704729676,264.1059668349044,70.19780552916507,-0.08552601217029793,-15.436802624208212,2.2213557784454294,-128.78501120912216,-113.39942284394056,-27.964140826952644,-297.1359936054796,269.17185277852695,75.98374298606785,-0.9527792756592436,-12.87310373299988,2.920986344978367
Mov,-653.4474064560177,-641.7923723347485,-581.2263116240501,-765.8718386664987,184.64552704244852,49.024682018608964,-0.7982270502686082,-65.15492650214583,2.9224466106143248,-653.4474064560177,-641.7923723347485,-581.2263116240501,-765.8718386664987,184.64552704244852,49.024682018608964,-0.7982270502686082,-65.15492650214583,2.9224466106143248,-704.1492275535487,-700.4413055256009,-573.9881307817996,-870.1233891770244,296.1352583952248,90.37954670542938,-0.25325396965485025,-70.19504462368786,1.9555775624655205,-707.5092311984358,-703.7836185190827,-576.7270340584219,-874.275341629982,297.54830757156014,90.81080635096392,-0.2532538922127783,-70.52999595180154,1.9555775348111013,-708.6626652520723,-704.930949723348,-577.6672624051571,-875.7006726227701,298.033410217613,90.95886132677437,-0.25325389084009975,-70.64497913233936,1.955577239399075,-706.2707803785228,-702.5516824796796,-575.7174803875387,-872.745004016906,297.02752362936735,90.65185760021897,-0.25325401303955064,-70.40653750300407,1.9555775644624536,-706.6479760956449,-702.9268890619278,-576.0249769082293,-873.2111018616706,297.1861249534413,90.70026799584666,-0.25325394143681973,-70.44413930270821,1.9555774752845376,-653.4474064560177,-641.7923723347485,-581.2263116240501,-765.8718386664987,184.64552704244852,49.024682018608964,-0.7982270502686082,-65.15492650214583,2.9224466106143248
Fam,-137.284253539222,-152.91132149286568,-55.808697652537376,-206.6685410682112,150.85984341567382,52.011097781226056,0.30281536351115995,-13.700288080144674,1.4987557456337683,-137.284253539222,-152.91132149286568,-55.808697652537376,-206.6685410682112,150.85984341567382,52.011097781226056,0.30281536351115995,-13.700288080144674,1.4987557456337683,-131.33641914464533,-159.18005374260247,-25.34631857997738,-236.98834411334246,211.64202553336509,66.56915754348981,0.18973345096716052,-13.261208820040338,1.5497239132644933,-131.96311871209988,-159.93962006177753,-25.467265004408546,-238.11918799765408,212.65192299324553,66.88680621903121,0.18973345565829694,-13.324487481440883,1.5497239061623316,-132.1782554161753,-160.2003612788394,-25.50878343754448,-238.50738944020122,212.99860600265674,66.99584990127765,0.18973345115677617,-13.346210129384417,1.549723890170664,-131.73212734657753,-159.65965576469898,-25.422685212106444,-237.70237748976797,212.27969227766152,66.76972560380105,0.18973345554176108,-13.301163991854992,1.5497239399344918,-131.8024801548745,-159.7449227119796,-25.436263058509212,-237.82932476024143,212.39306170173222,66.80538481689993,0.18973345333099867,-13.308267605680157,1.5497239123829951,-137.284253539222,-152.91132149286568,-55.808697652537376,-206.6685410682112,150.85984341567382,52.011097781226056,0.30281536351115995,-13.700288080144674,1.4987557456337683
Unf,-6.115459174137728,-0.18020716652245028,69.01768210809678,-84.18053766945377,153.19821977755055,43.10038081290385,-0.12246424589178337,-0.4841930212933221,1.990151961889548,-6.115459174137728,-0.18020716652245028,69.01768210809678,-84.18053766945377,153.19821977755055,43.10038081290385,-0.12246424589178337,-0.4841930212933221,1.990151961889548,-19.39648358564647,-7.540988917753566,36.93372127600014,-97.61357068782672,134.54729196382686,43.6292805772047,-0.39564946512661403,-2.0526080179479322,1.6906613498918588,-19.4890378504799,-7.576972393508186,37.10995952133089,-98.0793556664139,135.1893151877448,43.83746715165181,-0.3956494685127407,-2.062402454612311,1.6906613585631016,-19.520810339529888,-7.589325264234503,37.17045910889283,-98.2392521109432,135.40971121983603,43.90893420639656,-0.39564945310841193,-2.0657647373809596,1.6906613515175102,-19.454924042223027,-7.563709573332744,37.04499977175146,-97.90767217054963,134.9526719423011,43.760732519717486,-0.3956494454757564,-2.058792405478016,1.6906612997321127,-19.46531395446982,-7.56774903720725,37.06478491949383,-97.95996265893336,135.0247475784272,43.784103613742644,-0.3956494580558808,-2.0598919038548047,1.6906613399261456,-6.115459174137728,-0.18020716652245028,69.01768210809678,-84.18053766945377,153.19821977755055,43.10038081290385,-0.12246424589178337,-0.4841930212933221,1.990151961889548
Fam,-3.4750572432620594,-29.745257961621974,400.19224979914725,-192.751016584225,592.9432663833722,175.89017914223078,1.0097004568765209,-0.04976872878614813,3.2017317818036637,-3.4750572432620594,-29.745257961621974,400.19224979914725,-192.751016584225,592.9432663833722,175.89017914223078,1.0097004568765209,-0.04976872878614813,3.2017317818036637,-108.34165099228042,-142.40419113775715,16.36394335946534,-197.20658019650728,213.5705235559726,75.02291091872695,0.42825949751036396,-10.985386163156363,1.4812756095724606,-108.85862705505973,-143.08370009530336,16.44202711759135,-198.14759434666485,214.5896214642562,75.3808990631415,0.428259494360013,-11.03780533594545,1.4812756096150927,-109.03609392279087,-143.31696729641408,16.468831745442003,-198.47063231281936,214.93946405826136,75.50378835343014,0.42825951059053086,-11.055799737732741,1.4812756355213006,-108.66807728094639,-142.83324708230793,16.41324706724845,-197.80076399911195,214.2140110663604,75.24895025224019,0.42825947966914374,-11.01848441430775,1.4812756050451221,-108.72611231276935,-142.90952640294563,16.422012322436785,-197.90639271377586,214.32840503621264,75.2891371468847,0.42825949553251286,-11.024368912785576,1.481275614938494,-3.4750572432620594,-29.745257961621974,400.19224979914725,-192.751016584225,592.9432663833722,175.89017914223078,1.0097004568765209,-0.04976872878614813,3.2017317818036637
Unf,-9.852735799470862,-3.9586989259987604,246.14791618660092,-385.934894438833,632.0828106254339,179.59930227774365,-0.6680104924692853,-0.7941869007481728,2.6897165979592765,-9.852735799470862,-3.9586989259987604,246.14791618660092,-385.934894438833,632.0828106254339,179.59930227774365,-0.6680104924692853,-0.7941869007481728,2.6897165979592765,121.2940589819202,100.96252663061023,245.69802917540073,-15.821935448911972,261.5199646243127,70.43879932174691,0.1985305258911974,12.393759618134936,2.2281930913440218,121.87283965221678,101.44429325009696,246.87041877768934,-15.897432604106143,262.7678513817955,70.7749132411528,0.19853049505871714,12.452899107302073,2.228192986610284,122.07152699025195,101.60967576666735,247.2728956490755,-15.923349565127864,263.1962452142034,70.89029511548334,0.19853046011329242,12.473200858948985,2.228193047055646,121.65950871489119,101.26671986654401,246.43828510306776,-15.869605704210699,262.30789080727845,70.65102451949564,0.19853043412694604,12.431101073161699,2.22819301027805,121.72448358482004,101.32080387847964,246.56990717630833,-15.87808083058917,262.4479880068975,70.68875804946968,0.19853047879753827,12.437740164386923,2.2281930338220004,-9.852735799470862,-3.9586989259987604,246.14791618660092,-385.934894438833,632.0828106254339,179.59930227774365,-0.6680104924692853,-0.7941869007481728,2.6897165979592765
Fam,-94.90063248799393,-97.17565262690187,22.034966605133377,-210.65169130451977,232.68665790965315,66.06038458593555,0.12297011261955483,-9.492432329352596,1.991973951308028,-94.90063248799393,-97.17565262690187,22.034966605133377,-210.65169130451977,232.68665790965315,66.06038458593555,0.12297011261955483,-9.492432329352596,1.991973951308028,-25.023193022486968,-25.00239088476519,132.25733709987253,-152.57207269314677,284.8294097930193,78.80900710944901,0.13268665624069043,-2.526781492633745,2.3319599214949323,-25.14259701386506,-25.12169658075436,132.88842455949634,-153.30010501202196,286.1885295715183,79.18506078695184,0.13268662752371485,-2.5388386347913183,2.3319598911460284,-25.18358675073474,-25.162651581922546,133.10507347341627,-153.55003415606916,286.6551076294854,79.31415473397415,0.13268660005504207,-2.542977672419511,2.3319599402158677,-25.098586713913672,-25.07772251192364,132.6558121945709,-153.03176769521087,285.6875798897818,79.04645284625977,0.13268659888047107,-2.534394568101561,2.3319599064950967,-25.11199087525011,-25.091115389841434,132.726661831839,-153.1134948891122,285.8401567209512,79.08866886915868,0.1326866206749796,-2.535748091986534,2.3319599148379813,-94.90063248799393,-97.17565262690187,22.034966605133377,-210.65169130451977,232.68665790965315,66.06038458593555,0.12297011261955483,-9.492432329352596,1.991973951308028
Unf,294.3001393130264,303.76815993804485,376.8070018850267,190.54292351938784,186.26407836563885,52.60136020882524,-0.5178170635082664,29.19682872015983,2.2085369460430497,294.3001393130264,303.76815993804485,376.8070018850267,190.54292351938784,186.26407836563885,52.60136020882524,-0.5178170635082664,29.19682872015983,2.2085369460430497,266.97769723026653,261.457622400485,346.2601453065872,193.48283240105957,152.77731290552765,37.91392596603731,0.16831772990231023,26.578994002193213,2.6664185205721447,268.2516384923544,262.7052163006738,347.91239886544645,194.4060786627233,153.50632020272315,38.09484089877524,0.16831780391084816,26.705821335781366,2.666418392434899,268.6889644022673,263.13349371775985,348.47960341721773,194.72301937639713,153.7565840408206,38.15694950254753,0.16831805713594652,26.74935932736844,2.666418245286607,267.78208344834496,262.2453757794574,347.3034012131393,194.06578212510794,153.23761908803135,38.02815863847012,0.1683177258459369,26.65907476330176,2.6664185467014283,267.9250958933083,262.385427049594,347.4888872005977,194.169428141322,153.3194590592757,38.04846875145755,0.16831782919876043,26.673312357161194,2.66641842624877,294.3001393130264,303.76815993804485,376.8070018850267,190.54292351938784,186.26407836563885,52.60136020882524,-0.5178170635082664,29.19682872015983,2.2085369460430497
Unf,68.62372469221064,70.46851169434376,140.921154525131,-14.326241398521233,155.24739592365222,49.07737777283316,-0.1362377197231999,7.129611578875483,1.6297842321829135,68.62372469221064,70.46851169434376,140.921154525131,-14.326241398521233,155.24739592365222,49.07737777283316,-0.1362377197231999,7.129611578875483,1.6297842321829135,63.50395269167235,65.58663517353125,133.53931717574596,-36.78330176626332,170.32261894200929,49.3723315181647,-0.23670996071419284,6.433532312257739,1.8719202613107007,63.80697693395212,65.89959775737952,134.17653099168092,-36.95881969179027,171.1353506834712,49.60792357317675,-0.23670992850483516,6.464231445988844,1.8719201677653654,63.91099857803685,66.00703090953175,134.39527538139373,-37.01907553477213,171.41435091616586,49.68879700503201,-0.2367099730114777,6.474769798160196,1.8719202626987124,63.695287064564795,65.78424472536426,133.94166307989508,-36.894125514663756,170.83578859455884,49.52108797386417,-0.236709923846088,6.452916233001815,1.87192021959279,63.72930381705653,65.8193771414517,134.01319665717892,-36.91383062687237,170.9270272840513,49.54753501755941,-0.23670994651914842,6.456362447352149,1.8719202278418918,68.62372469221064,70.46851169434376,140.921154525131,-14.326241398521233,155.24739592365222,49.07737777283316,-0.1362377197231999,7.129611578875483,1.6297842321829135
