condition,Cz_mean,Cz_median,Cz_max,Cz_min,Cz_ptp,Cz_std,Cz_skew,Cz_auc,Cz_kurtosis,Pz_mean,Pz_median,Pz_max,Pz_min,Pz_ptp,Pz_std,Pz_skew,Pz_auc,Pz_kurtosis,P7_mean,P7_median,P7_max,P7_min,P7_ptp,P7_std,P7_skew,P7_auc,P7_kurtosis,P8_mean,P8_median,P8_max,P8_min,P8_ptp,P8_std,P8_skew,P8_auc,P8_kurtosis,O1_mean,O1_median,O1_max,O1_min,O1_ptp,O1_std,O1_skew,O1_auc,O1_kurtosis,O2_mean,O2_median,O2_max,O2_min,O2_ptp,O2_std,O2_skew,O2_auc,O2_kurtosis,N250avg_mean,N250avg_median,N250avg_max,N250avg_min,N250avg_ptp,N250avg_std,N250avg_skew,N250avg_auc,N250avg_kurtosis,P300avg_mean,P300avg_median,P300avg_max,P300avg_min,P300avg_ptp,P300avg_std,P300avg_skew,P300avg_auc,P300avg_kurtosis
Fam,-169.6115597,-141.9267429,22.4226989,-402.4266785,424.8493774,116.3603329,-0.579184219,-17.51187934,2.57745988,-169.6115597,-141.9267429,22.4226989,-402.4266785,424.8493774,116.3603329,-0.579184219,-17.51187934,2.57745988,7.816040601,8.709719403,200.9004192,-334.607924,535.5083432,157.5104932,-0.374790427,1.172279134,2.012820142,7.77892081,8.668355369,199.9463068,-333.0188104,532.9651172,156.7624474,-0.374790427,1.166711769,2.012820142,7.802358775,8.694473209,200.548747,-334.0221994,534.5709463,157.2347742,-0.374790427,1.170227083,2.012820142,7.828783225,8.723919006,201.2279506,-335.153441,536.3813916,157.7672853,-0.374790427,1.174190321,2.012820142,7.806525853,8.699116747,200.6558559,-334.2005937,534.8564496,157.31875,-0.374790427,1.170852077,2.012820142,-169.6115597,-141.9267429,22.4226989,-402.4266785,424.8493774,116.3603329,-0.579184219,-17.51187934,2.57745988
Fam,-148.3774294,-131.0208067,-29.02945408,-297.6295754,268.6001213,90.0919909,-0.201306016,-15.07164026,1.399293136,-148.3774294,-131.0208067,-29.02945408,-297.6295754,268.6001213,90.0919909,-0.201306016,-15.07164026,1.399293136,-76.72956667,-55.34019781,60.02887749,-283.3843801,343.4132576,103.4661344,-0.704822095,-7.279900085,2.525866527,-76.36516407,-55.07737719,59.74378949,-282.0385364,341.7823259,102.974755,-0.704822095,-7.245326522,2.525866527,-76.59525306,-55.24332587,59.92379811,-282.8883213,342.8121194,103.285019,-0.704822095,-7.267156762,2.525866527,-76.85466018,-55.43041987,60.12674359,-283.8463865,343.9731301,103.634817,-0.704822095,-7.29176863,2.525866527,-76.63616099,-55.27283018,59.95580217,-283.0394061,342.9952083,103.3401814,-0.704822095,-7.271038,2.525866527,-148.3774294,-131.0208067,-29.02945408,-297.6295754,268.6001213,90.0919909,-0.201306016,-15.07164026,1.399293136
Unf,-231.7273071,-201.2843185,-141.7643386,-391.5272491,249.7629105,73.31265065,-1.071007672,-23.21025842,3.004855334,-231.7273071,-201.2843185,-141.7643386,-391.5272491,249.7629105,73.31265065,-1.071007672,-23.21025842,3.004855334,-171.6510192,-162.6177547,-94.07930038,-293.6032131,199.5239128,50.48535295,-1.002878153,-16.9107791,3.857964134,-170.8358175,-161.8454536,-93.63250075,-292.2088383,198.5763376,50.24558887,-1.002878153,-16.83046675,3.857964134,-171.3505475,-162.3330955,-93.9146164,-293.0892665,199.1746501,50.39697933,-1.002878153,-16.88117711,3.857964134,-171.9308648,-162.8828732,-94.23267946,-294.0818795,199.8492,50.56766008,-1.002878153,-16.93834903,3.857964134,-171.4420623,-162.4197943,-93.96477425,-293.2457994,199.2810251,50.42389531,-1.002878153,-16.890193,3.857964134,-231.7273071,-201.2843185,-141.7643386,-391.5272491,249.7629105,73.31265065,-1.071007672,-23.21025842,3.004855334
Fam,-114.7973541,-88.85986785,-35.30698206,-253.5555782,218.2485962,70.20617193,-0.584854224,-11.34484491,1.858658193,-114.7973541,-88.85986785,-35.30698206,-253.5555782,218.2485962,70.20617193,-0.584854224,-11.34484491,1.858658193,-179.7870641,-185.8916677,-63.36606171,-292.7757976,229.4097359,61.43761075,0.039922462,-18.43563247,2.482033583,-178.9332228,-185.0088346,-63.06512481,-291.3853524,228.3202276,61.14583242,0.039922462,-18.34807832,2.482033583,-179.4723503,-185.566268,-63.25514065,-292.2632993,229.0081586,61.33006541,0.039922462,-18.40336126,2.482033583,-180.080174,-186.1947301,-63.46936848,-293.253115,229.7837465,61.53777353,0.039922462,-18.4656884,2.482033583,-179.5682028,-185.6653751,-63.28892391,-292.4193911,229.1304672,61.36282053,0.039922462,-18.41319011,2.482033583,-114.7973541,-88.85986785,-35.30698206,-253.5555782,218.2485962,70.20617193,-0.584854224,-11.34484491,1.858658193
Fam,-19.34077729,-5.420595318,73.56411976,-142.9589602,216.5230799,63.34145603,-0.303881846,-1.98469159,2.017145932,-19.34077729,-5.420595318,73.56411976,-142.9589602,216.5230799,63.34145603,-0.303881846,-1.98469159,2.017145932,-16.61875005,-14.61325285,80.8478607,-136.1166351,216.9644958,53.65766878,-0.319714181,-1.617812456,2.628540486,-16.53982459,-14.54385186,80.46389957,-135.4701926,215.9340922,53.4028388,-0.319714181,-1.610129172,2.628540486,-16.58965925,-14.58767263,80.70633809,-135.8783656,216.5847037,53.56374208,-0.319714181,-1.614980507,2.628540486,-16.64584388,-14.63707708,80.97966834,-136.3385484,217.3182167,53.74514779,-0.319714181,-1.620450003,2.628540486,-16.59851944,-14.59546361,80.74944168,-135.9509354,216.7003771,53.59234936,-0.319714181,-1.615843034,2.628540486,-19.34077729,-5.420595318,73.56411976,-142.9589602,216.5230799,63.34145603,-0.303881846,-1.98469159,2.017145932
Unf,-76.97829203,-72.32738931,63.18670681,-204.1038445,267.2905513,70.28642241,0.058998543,-7.560857842,2.739035888,-76.97829203,-72.32738931,63.18670681,-204.1038445,267.2905513,70.28642241,0.058998543,-7.560857842,2.739035888,-67.32882071,-62.24959187,133.6975135,-268.2011524,401.8986658,108.1565468,-0.152218959,-7.366322074,2.553247319,-67.00906395,-61.95395729,133.0625598,-266.9274166,399.9899763,107.6428918,-0.152218959,-7.331338077,2.553247319,-67.21096292,-62.14062517,133.4634786,-267.7316715,401.1951501,107.9672209,-0.152218959,-7.353427471,2.553247319,-67.43858803,-62.35107844,133.9154828,-268.6384053,402.5538881,108.3328763,-0.152218959,-7.378331514,2.553247319,-67.2468589,-62.17381319,133.5347586,-267.8746614,401.4094201,108.024884,-0.152218959,-7.357354784,2.553247319,-76.97829203,-72.32738931,63.18670681,-204.1038445,267.2905513,70.28642241,0.058998543,-7.560857842,2.739035888
Fam,65.2815666,77.68886106,116.8588401,7.676849191,109.1819909,34.32761784,-0.233361637,6.579005065,1.656666032,65.2815666,77.68886106,116.8588401,7.676849191,109.1819909,34.32761784,-0.233361637,6.579005065,1.656666032,72.13999219,64.56364576,197.1892283,-8.202807639,205.392036,60.08883244,0.479357471,6.996339437,2.04789318,71.79738631,64.25702132,196.252741,-8.163851021,204.416592,59.8034597,0.479357471,6.963112555,2.04789318,72.01371254,64.45062836,196.8440524,-8.188448785,205.0325012,59.98364811,0.479357471,6.984092482,2.04789318,72.25760324,64.66890497,197.5107093,-8.216180816,205.7268901,60.18679628,0.479357471,7.007745688,2.04789318,72.05217357,64.4850501,196.9491828,-8.192822065,205.1420048,60.01568413,0.479357471,6.98782254,2.04789318,65.2815666,77.68886106,116.8588401,7.676849191,109.1819909,34.32761784,-0.233361637,6.579005065,1.656666032
Unf,-79.67232662,-89.41243457,392.6835793,-411.2487653,803.9323446,179.5671362,0.53002845,-8.828424284,4.24860824,40.46547432,45.41246289,208.8727298,-199.4434953,408.3162251,91.20192225,-0.53002845,4.483945572,4.24860824,-6.788643817,-15.58965098,198.8756292,-192.8526823,391.7283115,112.2443006,0.137447579,-0.427169422,2.217492672,-6.756403318,-15.5156129,197.9311328,-191.93679,389.8679229,111.7112321,0.137447579,-0.425140718,2.217492672,-6.776760428,-15.5623616,198.5275013,-192.5150975,391.0425987,112.0478192,0.137447579,-0.426421671,2.217492672,-6.799711458,-15.61506705,199.1998595,-193.1670933,392.3669528,112.4272944,0.137447579,-0.427865844,2.217492672,-6.780379755,-15.57067313,198.6335307,-192.6179158,391.2514465,112.1076616,0.137447579,-0.426649414,2.217492672,-19.60342615,-21.99998584,300.7781546,-305.3461303,606.1242848,135.3845292,-2.22E-16,-2.172239356,4.24860824
Fam,-22.88050004,-18.24073596,81.06480881,-102.0347744,183.0995832,46.2980788,0.028426045,-2.57345015,2.867106972,-22.88050004,-18.24073596,81.06480881,-102.0347744,183.0995832,46.2980788,0.028426045,-2.57345015,2.867106972,-12.1526088,-9.967631926,143.1108808,-161.0251875,304.1360683,69.29376001,-0.041502354,-1.198863802,3.985170734,-12.09489386,-9.920293838,142.4312213,-160.2604498,302.6916711,68.9646714,-0.041502354,-1.193170181,3.985170734,-12.1313359,-9.950183781,142.860368,-160.7433161,303.6036841,69.17246264,-0.041502354,-1.196765214,3.985170734,-12.17242141,-9.983882326,143.3441969,-161.2877096,304.6319065,69.40673081,-0.041502354,-1.20081833,3.985170734,-12.13781499,-9.955497968,142.9366667,-160.8291658,303.7658325,69.20940622,-0.041502354,-1.197404382,3.985170734,-22.88050004,-18.24073596,81.06480881,-102.0347744,183.0995832,46.2980788,0.028426045,-2.57345015,2.867106972
Unf,33.76112341,15.35786409,203.3733052,-61.53744347,264.9107487,71.20184226,0.798565,3.121669428,2.976608717,33.76112341,15.35786409,203.3733052,-61.53744347,264.9107487,71.20184226,0.798565,3.121669428,2.976608717,-48.82566078,-51.7507375,81.40820347,-204.2549623,285.6631658,60.14570788,-0.426432276,-4.832175204,3.978992604,-48.59377888,-51.50496388,81.02158117,-203.2849186,284.3064997,59.86006502,-0.426432276,-4.809226329,3.978992604,-48.74019242,-51.66014884,81.2657,-203.897418,285.163118,60.04042399,-0.426432276,-4.823716575,3.978992604,-48.90526209,-51.83510761,81.54092465,-204.5879627,286.1288873,60.24376445,-0.426432276,-4.840053181,3.978992604,-48.76622354,-51.68773946,81.30910232,-204.0063154,285.3154177,60.07249033,-0.426432276,-4.826292822,3.978992604,33.76112341,15.35786409,203.3733052,-61.53744347,264.9107487,71.20184226,0.798565,3.121669428,2.976608717
