trial_index,bad_channels
0,T7
1,"T7,T8"
2,"T7,T8"
3,"T7,T8,P7"
4,"Cz,Pz,T7,T8,P7,P8"
5,T7
6,T7
7,T7
8,T7
9,T7
10,T7
11,T7
12,T7
13,T7
14,T7
16,T7
18,T7
19,"Pz,T7"
21,T7
22,"T7,T8"
25,T7
26,T7
27,T7
28,T7
29,"Pz,T7"
31,T7
32,T7
33,T7
34,T7
35,T7
36,T7
37,"T7,T8"
38,"T7,T8"
39,T7
40,"T7,T8"
41,T7
42,T7
43,T7
44,T7
45,T7
46,"T7,T8"
47,T7
48,T7
49,"T7,T8"
50,T7
51,"T7,T8"
54,T7
55,T7
56,"T7,T8"
57,T7
58,T7
59,"T7,T8"
60,T7
61,"T7,T8"
62,"Pz,T7"
64,"T7,T8"
65,"T7,T8"
66,"Cz,T7,T8,P7,P8"
67,"Pz,T7,T8"
68,T7
69,T7
71,T7
72,"Pz,T7,T8"
73,"Pz,T7"
74,T7
75,T7
76,T7
78,"Cz,Pz,T7,T8,P7,P8"
79,"T7,T8"
