condition,Cz_mean,Cz_median,Cz_max,Cz_min,Cz_ptp,Cz_std,Cz_skew,Cz_auc,Cz_kurtosis,Pz_mean,Pz_median,Pz_max,Pz_min,Pz_ptp,Pz_std,Pz_skew,Pz_auc,Pz_kurtosis,T7_mean,T7_median,T7_max,T7_min,T7_ptp,T7_std,T7_skew,T7_auc,T7_kurtosis,T8_mean,T8_median,T8_max,T8_min,T8_ptp,T8_std,T8_skew,T8_auc,T8_kurtosis,P7_mean,P7_median,P7_max,P7_min,P7_ptp,P7_std,P7_skew,P7_auc,P7_kurtosis,P8_mean,P8_median,P8_max,P8_min,P8_ptp,P8_std,P8_skew,P8_auc,P8_kurtosis,O1_mean,O1_median,O1_max,O1_min,O1_ptp,O1_std,O1_skew,O1_auc,O1_kurtosis,O2_mean,O2_median,O2_max,O2_min,O2_ptp,O2_std,O2_skew,O2_auc,O2_kurtosis,N250avg_mean,N250avg_median,N250avg_max,N250avg_min,N250avg_ptp,N250avg_std,N250avg_skew,N250avg_auc,N250avg_kurtosis,P300avg_mean,P300avg_median,P300avg_max,P300avg_min,P300avg_ptp,P300avg_std,P300avg_skew,P300avg_auc,P300avg_kurtosis
Mov,6.104712486358739,6.114994448580546,12.590617188834585,-0.9590806939741015,13.549697882808687,3.4432896763354903,-0.13012415856894105,0.6000063806649236,2.804030037094033,6.104712486358739,6.114994448580546,12.590617188834585,-0.9590806939741015,13.549697882808687,3.4432896763354903,-0.13012415856894105,0.6000063806649236,2.804030037094033,13.761511593311472,14.021204719938396,24.9414643747059,1.0691036607113347,23.872360713994567,6.297991875199116,-0.11840821221419698,1.38245194034833,2.7977836895431283,24.27248759536619,24.773855329840444,40.928243834059685,6.493723049061373,34.43452078499831,9.001170607360137,-0.22480390881431042,2.440745177579857,2.664900425151165,22.112343545953852,21.57362541765906,31.026542274048552,11.766465831897222,19.26007644215133,4.223162691984237,0.0903834134076225,2.222896946332764,3.6058881378401497,-6.104712486358739,-6.114994448580546,0.9590806939741015,-12.590617188834585,13.549697882808687,3.4432896763354903,0.13012415856894105,-0.6000063806649236,2.804030037094033,13.761511593311472,14.021204719938396,24.9414643747059,1.0691036607113347,23.872360713994567,6.297991875199116,-0.11840821221419698,1.38245194034833,2.7977836895431283,14.765927718284589,15.852332580834627,26.851990696741268,-1.3931570492786705,28.24514774601994,8.524344525116602,-0.46933651201904103,1.4661720181456224,2.116316158087164,13.761511593311472,14.021204719938396,24.9414643747059,1.0691036607113347,23.872360713994567,6.297991875199116,-0.11840821221419698,1.38245194034833,2.7977836895431283,6.104712486358739,6.114994448580546,12.590617188834585,-0.9590806939741015,13.549697882808687,3.4432896763354903,-0.13012415856894105,0.6000063806649236,2.804030037094033
Mov,7.46119317304087,6.800498567827162,18.997232473338954,-0.2957715423690388,19.293004015707993,4.32504566876546,0.582837051338872,0.7271198725619112,3.8644542937174347,7.46119317304087,6.800498567827162,18.997232473338954,-0.2957715423690388,19.293004015707993,4.32504566876546,0.582837051338872,0.7271198725619112,3.8644542937174347,12.62818284062042,11.341584070123645,29.806797613218805,-2.3904183876766183,32.19721600089542,8.319733481395438,0.12304085480273019,1.283239347848311,2.960394807871949,27.91132743158624,25.68435866123764,55.58847260545008,7.217136499093613,48.371336106356466,12.920907327944184,0.6020144989557256,2.791931262845718,2.7347985914842527,15.328276451607682,14.522323908749968,26.26614696055185,4.081102360942168,22.185044599609682,5.634754533308315,-0.09981605638197923,1.5576986034753948,2.526196523265062,-7.46119317304087,-6.800498567827162,0.2957715423690388,-18.997232473338954,19.293004015707993,4.32504566876546,-0.582837051338872,-0.7271198725619112,3.8644542937174347,12.62818284062042,11.341584070123645,29.806797613218805,-2.3904183876766183,32.19721600089542,8.319733481395438,0.12304085480273019,1.283239347848311,2.960394807871949,14.734320652328629,11.960152278334135,37.07679934450425,-1.8626799374032998,38.93947928190755,10.398226395563794,0.5728020279760464,1.510447397634043,2.7161298230210447,12.62818284062042,11.341584070123645,29.806797613218805,-2.3904183876766183,32.19721600089542,8.319733481395438,0.12304085480273019,1.283239347848311,2.960394807871949,7.46119317304087,6.800498567827162,18.997232473338954,-0.2957715423690388,19.293004015707993,4.32504566876546,0.582837051338872,0.7271198725619112,3.8644542937174347
Mov,-1.0916783535955905,-1.6160270206455607,7.635279871465173,-8.125800377456471,15.761080248921644,3.9203553562081845,0.42031332517201053,-0.12214897891743681,2.858467398916409,-1.0916783535955905,-1.6160270206455607,7.635279871465173,-8.125800377456471,15.761080248921644,3.9203553562081845,0.42031332517201053,-0.12214897891743681,2.858467398916409,8.370366212424766,11.39053546550528,34.032884514090256,-19.254988956163288,53.287873470253544,15.517718456714384,-0.3112631251606567,0.830063848579283,2.697992542533153,-6.953635069460408,-6.234630291146459,11.818773600680288,-31.43063440802507,43.24940800870536,9.8213646183216,-0.7145543931803607,-0.6903036327379907,3.9351844429921736,1.119945039681406,0.4329820182391586,16.473690266138874,-14.239716620068066,30.71340688620694,8.245024211804587,0.12513576417348682,0.08039843367772884,2.5534765203221634,1.0916783535955905,1.6160270206455607,8.125800377456471,-7.635279871465173,15.761080248921644,3.9203553562081845,-0.42031332517201053,0.12214897891743681,2.858467398916409,8.370366212424766,11.39053546550528,34.032884514090256,-19.254988956163288,53.287873470253544,15.517718456714384,-0.3112631251606567,0.830063848579283,2.697992542533153,38.223476525882475,49.74776311428286,99.71327381208539,-23.714324925094843,123.42759873718023,40.084129640523166,-0.23532054646374226,3.8080116144599567,1.444841807901865,8.370366212424766,11.39053546550528,34.032884514090256,-19.254988956163288,53.287873470253544,15.517718456714384,-0.3112631251606567,0.830063848579283,2.697992542533153,-1.0916783535955905,-1.6160270206455607,7.635279871465173,-8.125800377456471,15.761080248921644,3.9203553562081845,0.42031332517201053,-0.12214897891743681,2.858467398916409
Fam,-17.010920146276476,-15.725028788438067,-10.68174697138602,-30.338906071847305,19.657159100461286,5.075956075548239,-1.1524269671955554,-1.671853517536983,3.783340714974432,-17.010920146276476,-15.725028788438067,-10.68174697138602,-30.338906071847305,19.657159100461286,5.075956075548239,-1.1524269671955554,-1.671853517536983,3.783340714974432,15.04067926834278,13.890757941226184,32.29263302273466,1.231692181136168,31.060940841598494,8.308000075617699,0.4535599886760576,1.499411239935844,3.282066900267935,55.58445886540889,57.49910451413598,72.5702047930099,29.163567887735553,43.406636905274354,10.237262132730274,-0.8595715746951195,5.602467618552194,3.8609426471664112,-27.643589629196168,-31.027804652694613,-9.66900734056253,-41.33937181904912,31.67036447848659,9.320337481060115,0.3512073083055746,-2.7843582637184134,1.9629703003152306,17.010920146276476,15.725028788438067,30.338906071847305,10.68174697138602,19.657159100461286,5.075956075548239,1.1524269671955554,1.671853517536983,3.783340714974432,15.04067926834278,13.890757941226184,32.29263302273466,1.231692181136168,31.060940841598494,8.308000075617699,0.4535599886760576,1.499411239935844,3.282066900267935,15.210927690881922,13.366703115025302,35.93042856664397,6.42082568447222,29.509602882171748,8.598444613132163,1.17017725389822,1.507682087372611,3.5210139386156647,15.04067926834278,13.890757941226184,32.29263302273466,1.231692181136168,31.060940841598494,8.308000075617699,0.4535599886760576,1.499411239935844,3.282066900267935,-17.010920146276476,-15.725028788438067,-10.68174697138602,-30.338906071847305,19.657159100461286,5.075956075548239,-1.1524269671955554,-1.671853517536983,3.783340714974432
Unf,-0.8722914575269687,-2.654858462847187,15.17126747785369,-13.495091479853727,28.666358957707416,7.9610801982642645,0.22793150516419836,-0.09385395096243551,1.960919420701752,-0.8722914575269687,-2.654858462847187,15.17126747785369,-13.495091479853727,28.666358957707416,7.9610801982642645,0.22793150516419836,-0.09385395096243551,1.960919420701752,17.961140841054732,20.83984617229362,40.598187467821845,-13.835200888934196,54.43338835675604,16.179328148925073,-0.19631534840106624,1.8142865869130589,2.1100108703120495,-22.678385059922316,-26.396663997729775,2.989664380947943,-43.0032450822182,45.99290946316614,12.378624153589119,0.5965870995345484,-2.296500302603146,2.3525876789729283,31.800390038719904,33.67759200045839,42.30489139445126,16.09794890100602,26.20694249344524,7.922422256127997,-0.4528885743517083,3.201091834150331,1.9467552239816863,0.8722914575269687,2.654858462847187,13.495091479853727,-15.17126747785369,28.666358957707416,7.9610801982642645,-0.22793150516419836,0.09385395096243551,1.960919420701752,17.961140841054732,20.83984617229362,40.598187467821845,-13.835200888934196,54.43338835675604,16.179328148925073,-0.19631534840106624,1.8142865869130589,2.1100108703120495,61.85026692789437,73.42359822359867,103.60310261603445,-13.264239896670915,116.86734251270536,36.45518598771891,-0.7010284136229066,6.2587008651426155,2.1797811575918313,17.961140841054732,20.83984617229362,40.598187467821845,-13.835200888934196,54.43338835675604,16.179328148925073,-0.19631534840106624,1.8142865869130589,2.1100108703120495,-0.8722914575269687,-2.654858462847187,15.17126747785369,-13.495091479853727,28.666358957707416,7.9610801982642645,0.22793150516419836,-0.09385395096243551,1.960919420701752
Fam,2.773336371630054,3.275492531429336,6.743870471836999,-1.920382146636257,8.664252618473256,2.4198364199878384,-0.27578883606612525,0.27814793260670584,1.9998192787609697,2.773336371630054,3.275492531429336,6.743870471836999,-1.920382146636257,8.664252618473256,2.4198364199878384,-0.27578883606612525,0.27814793260670584,1.9998192787609697,-1.6459057412714186,-2.1353185886141546,11.521745932441263,-17.0141772741772,28.535923206618463,7.6192523660968625,-0.05020897996060791,-0.1502729110832858,2.8179952476502144,-11.467300728677051,-15.282969798136037,15.891711882431991,-30.52779720746912,46.41950908990111,11.872388516646016,0.7427825533299691,-1.168857616302053,3.1576920852962465,2.3821077421031918,0.9964188905087212,13.835489880875684,-12.291621715121437,26.12711159599712,7.355232976298398,0.0544270776088395,0.2576532920899348,2.0885098116711247,-2.773336371630054,-3.275492531429336,1.920382146636257,-6.743870471836999,8.664252618473256,2.4198364199878384,0.27578883606612525,-0.27814793260670584,1.9998192787609697,-1.6459057412714186,-2.1353185886141546,11.521745932441263,-17.0141772741772,28.535923206618463,7.6192523660968625,-0.05020897996060791,-0.1502729110832858,2.8179952476502144,5.274906393118237,9.020769084600033,14.43939981982112,-18.493419702281244,32.93281952210236,8.829551551455198,-1.2738343868473656,0.5882606124856807,4.025959814872517,-1.6459057412714186,-2.1353185886141546,11.521745932441263,-17.0141772741772,28.535923206618463,7.6192523660968625,-0.05020897996060791,-0.1502729110832858,2.8179952476502144,2.773336371630054,3.275492531429336,6.743870471836999,-1.920382146636257,8.664252618473256,2.4198364199878384,-0.27578883606612525,0.27814793260670584,1.9998192787609697
Unf,9.436099110014485,15.041365259094164,20.332314306870103,-16.588979633525014,36.92129394039512,11.727383384918856,-1.091656812234136,0.9873523290788074,2.729342104624185,9.436099110014485,15.041365259094164,20.332314306870103,-16.588979633525014,36.92129394039512,11.727383384918856,-1.091656812234136,0.9873523290788074,2.729342104624185,-17.212976749520365,-20.39093558892091,21.57420476578409,-48.86480382992886,70.43900859571295,22.99239564332555,0.47113557753777835,-1.7315080638702482,2.335160556033975,-4.3692049937012944,-3.7188520991549012,21.46792394341901,-33.55770240887068,55.02562635228969,14.355490905984224,-0.15776330743103953,-0.428503747424334,2.867693178982324,-9.373615005013281,-16.215830328292213,19.675590010592714,-27.789810701506212,47.465400712098926,14.83097292929434,0.8699021630107716,-0.9443253051235426,2.2690248798467514,-9.436099110014485,-15.041365259094164,16.588979633525014,-20.332314306870103,36.92129394039512,11.727383384918856,1.091656812234136,-0.9873523290788074,2.729342104624185,-17.212976749520365,-20.39093558892091,21.57420476578409,-48.86480382992886,70.43900859571295,22.99239564332555,0.47113557753777835,-1.7315080638702482,2.335160556033975,-45.67298788935239,-46.587694669142365,28.564325475599617,-113.77938790246844,142.34371337806806,51.05573535310478,0.08074664233724545,-4.565850873854309,1.4745820606826405,-17.212976749520365,-20.39093558892091,21.57420476578409,-48.86480382992886,70.43900859571295,22.99239564332555,0.47113557753777835,-1.7315080638702482,2.335160556033975,9.436099110014485,15.041365259094164,20.332314306870103,-16.588979633525014,36.92129394039512,11.727383384918856,-1.091656812234136,0.9873523290788074,2.729342104624185
Fam,-2.701357152327196,-0.5725936773615103,22.6010124606546,-26.88046697585378,49.48147943650838,15.60406581421617,-0.022511948926062127,-0.2889611476419021,1.948766664390097,-2.701357152327196,-0.5725936773615103,22.6010124606546,-26.88046697585378,49.48147943650838,15.60406581421617,-0.022511948926062127,-0.2889611476419021,1.948766664390097,-10.559086619459197,-15.605598626677875,28.343401254460332,-34.051621810249344,62.395023064709676,18.610201432182407,0.5643077038097059,-1.104953371328873,2.313673458074867,-22.71789733098418,-28.649146770476364,3.3747519410098903,-40.23734072688967,43.61209266789956,14.126611082199089,0.6607820839468538,-2.356275004274946,1.9677307124955166,14.212668961596146,13.437629604595713,43.86986620374955,-4.338693997851806,48.20856020160136,13.161897949072673,0.5321591367003383,1.3696218403168023,2.3808446548886253,2.701357152327196,0.5725936773615103,26.88046697585378,-22.6010124606546,49.48147943650838,15.60406581421617,0.022511948926062127,0.2889611476419021,1.948766664390097,-10.559086619459197,-15.605598626677875,28.343401254460332,-34.051621810249344,62.395023064709676,18.610201432182407,0.5643077038097059,-1.104953371328873,2.313673458074867,-36.43247526077595,-47.78347101819236,39.24851989722811,-69.0294400556013,108.2779599528294,31.548230883241704,1.0417776456655692,-3.7221214689992506,2.9573518005252297,-10.559086619459197,-15.605598626677875,28.343401254460332,-34.051621810249344,62.395023064709676,18.610201432182407,0.5643077038097059,-1.104953371328873,2.313673458074867,-2.701357152327196,-0.5725936773615103,22.6010124606546,-26.88046697585378,49.48147943650838,15.60406581421617,-0.022511948926062127,-0.2889611476419021,1.948766664390097
Unf,-17.941205214810907,-17.287394257436972,-5.080332812212873,-33.76528911758214,28.68495630536927,8.074382869807454,-0.39690749462099567,-1.7622016848944335,2.5872065143204437,-17.941205214810907,-17.287394257436972,-5.080332812212873,-33.76528911758214,28.68495630536927,8.074382869807454,-0.39690749462099567,-1.7622016848944335,2.5872065143204437,32.069409221855075,35.20375116750074,56.51307179732612,-4.231582124702982,60.7446539220291,16.991545892527537,-0.3939132816181654,3.21724213513534,2.784762635176418,11.168030648779958,22.651702238363214,39.64150164392777,-57.96210825792514,97.6036099018529,26.255704692249644,-1.5080042881219216,1.2277219464312044,4.513537409245608,-15.915098738507648,-16.32085877645295,2.300128699062043,-36.17643960751593,38.476568306577974,11.7540504995521,-0.048337082242298,-1.5987732847252736,1.7427380866630675,17.941205214810907,17.287394257436972,33.76528911758214,5.080332812212873,28.68495630536927,8.074382869807454,0.39690749462099567,1.7622016848944335,2.5872065143204437,32.069409221855075,35.20375116750074,56.51307179732612,-4.231582124702982,60.7446539220291,16.991545892527537,-0.3939132816181654,3.21724213513534,2.784762635176418,115.08349976233708,117.19676695065573,150.34536772873253,72.13188655441627,78.21348117431626,21.882045508500948,-0.41621925072943766,11.477818193940996,2.295568530476551,32.069409221855075,35.20375116750074,56.51307179732612,-4.231582124702982,60.7446539220291,16.991545892527537,-0.3939132816181654,3.21724213513534,2.784762635176418,-17.941205214810907,-17.287394257436972,-5.080332812212873,-33.76528911758214,28.68495630536927,8.074382869807454,-0.39690749462099567,-1.7622016848944335,2.5872065143204437
Fam,15.224259886263798,15.559815437882207,21.25245737261139,8.128552508424036,13.123904864187352,3.5701110353984573,-0.4106197498745974,1.5236750534741186,2.407814937578146,15.224259886263798,15.559815437882207,21.25245737261139,8.128552508424036,13.123904864187352,3.5701110353984573,-0.4106197498745974,1.5236750534741186,2.407814937578146,2.7426408977750434,2.612185483030771,14.042162320038187,-15.269873301804182,29.31203562184237,7.655021585309377,-0.5183286473532595,0.30596059931912495,3.6396905767948784,-6.280373248465856,-5.513081077879178,5.447644980449695,-40.357008401770145,45.80465338221984,10.2337093022455,-1.5243077002242105,-0.5749767950080686,6.519869785829325,12.589073583932567,13.317740922502708,16.886730008991435,6.3006323216541205,10.586097687337315,2.5876168524606102,-1.0248426706617282,1.2514310655825533,3.7990347479946123,-15.224259886263798,-15.559815437882207,-8.128552508424036,-21.25245737261139,13.123904864187352,3.5701110353984573,0.4106197498745974,-1.5236750534741186,2.407814937578146,2.7426408977750434,2.612185483030771,14.042162320038187,-15.269873301804182,29.31203562184237,7.655021585309377,-0.5183286473532595,0.30596059931912495,3.6396905767948784,19.88612314189726,18.203897525381763,41.962826799135655,-5.770659754489316,47.73348655362497,14.228649151132938,0.06521603159830337,2.0710631801761337,1.8320428357774292,2.7426408977750434,2.612185483030771,14.042162320038187,-15.269873301804182,29.31203562184237,7.655021585309377,-0.5183286473532595,0.30596059931912495,3.6396905767948784,15.224259886263798,15.559815437882207,21.25245737261139,8.128552508424036,13.123904864187352,3.5701110353984573,-0.4106197498745974,1.5236750534741186,2.407814937578146
