label,lsl_time
sw_Move1,539964.3766792265
sw_Move2,539974.1947934328
sw_Move3,539983.6444951388
sw_F1T1,540014.8628899585
sw_U1,540046.2260999783
sw_F2T1,540067.7600755921
sw_U2,540082.2010206011
sw_U3,540093.9918784086
sw_F3T1,540126.129993429
sw_U4,540139.8144775376
sw_F2T2,540163.0263674523
sw_F4T1,540207.1087539803
sw_U5,540225.9899957922
sw_F1T2,540245.9612380048
sw_U6,540259.7132774136
sw_U7,540273.0899460221
sw_F1T3,540345.3297021679
sw_U8,540357.6383961757
sw_F5T1,540373.5392359856
sw_F4T2,540394.7463701991
sw_U9,540411.2042932095
sw_F5T2,540472.7048744485
sw_F3T2,540492.4199095609
sw_U11,540506.9196010701
sw_U12,540522.2573617798
sw_F2T3,540554.2245652
sw_U13,540570.7082708105
sw_F4T3,540592.040737524
sw_U14,540607.1868539336
sw_U15,540623.1013930438
sw_F1T4,540637.8202037531
sw_F4T4,540665.2010652703
sw_U16,540685.9504523836
sw_F2T4,540707.4019991972
sw_U17,540723.4012575073
sw_U18,540794.1559503521
sw_F5T3,540821.1684360693
sw_F4T5,540855.0839969907
sw_U19,540870.5414768005
sw_F3T3,540892.9706988146
sw_U20,540911.3142355263
sw_F2T5,540924.6816933348
sw_F1T5,540940.6865499449
sw_U21,540973.3553577657
sw_F4T6,540987.5718167746
sw_U22,541012.8283352905
sw_U23,541030.5161765019
sw_F2T6,541045.6338890113
sw_F5T4,541070.5708177272
sw_F4T7 ,541091.8324404407
sw_U24,541107.1174281503
sw_F3T4,541125.7464306621
sw_U25,541141.7609094722
sw_F1T6,541184.127091199
sw_F5T5,541198.6624573084
sw_U26,541219.2624435214
sw_U27,541232.3737484297
sw_U28,541248.0663700396
sw_U10,541305.453209076
sw_F3T5,541338.5275718969
sw_U29,541354.6748246071
sw_F2T7,541370.6656521172
sw_U30,541383.8458382256
sw_U31,541399.1590551352
sw_F3T6,541418.6953041477
sw_F5T6,541434.6926470578
sw_U32,541447.5068263658
sw_F4T8,541491.1413481935
sw_U33,541506.002422003
sw_U34,541523.5935544141
sw_F5T7,541543.5077802268
sw_U35,541576.1091193474
sw_F3T7,541617.9902617739
sw_U36,541635.7876391852
sw_F2T8,541651.8591690953
sw_F1T7,541665.6912630042
sw_U37,541681.8056324143
sw_U38,541697.6533904243
sw_F5T8,541712.6108003339
sw_U39,541757.3698576621
sw_U40,541772.1379672716
sw_F3T8,541786.6038007806
sw_F1T8,541802.5275922908
