label,lsl_time
sw_Move1,119089.6660363547
sw_Move2,119108.79532884611
sw_Move3,119129.45974386089
sw_Move4,119146.3114327176
sw_FamA1,119235.0286841691
sw_FamA2,119254.977534673
sw_FamA3,119276.15793059567
sw_FamA4,119298.17614403107
sw_FamA5,119321.6456261886
sw_FamB1,119354.92909129565
sw_FamB2,119369.6372797197
sw_FamB3,119388.90672971324
sw_FamB4,119406.52058578156
sw_FamB5,119423.05408053343
sw_FamC1,119448.60343612265
sw_FamC2,119465.18663647526
sw_FamC3,119477.7991215674
sw_FamC4,119506.14487249921
sw_FamC5,119521.53799573371
sw_FamD1,119540.4564368219
sw_FamD2,119557.0115432741
sw_FamD3,119573.94253713202
sw_FamD4,119588.3755262519
sw_FamD5,119606.64730393025
sw_FamE1,119632.84412402932
sw_FamE2,119647.95289175947
sw_FamE3,119664.7850481159
sw_FamE4,119680.3620572532
sw_FamE5,119694.89855017464
sw_FamF1,119720.01425785724
sw_FamF2,119734.4930425778
sw_FamF3,119748.45470989049
sw_FamF4,119766.91894437178
sw_FamF5,119831.3701514536
sw_UnA1,57948.70416236329
sw_UnA2,57968.93753661896
sw_UnA3,57982.85044882561
sw_UnB1,58010.078791128806
sw_UnB2,380.3313141260393
sw_UnB3,395.884039076595
sw_UnC1,411.1082137239702
sw_UnC2,424.94859875794987
sw_UnC3,437.4182057786599
sw_UnD1,454.4354125433923
sw_UnD2,465.34718854902206
sw_UnD3,475.029896542754
sw_UnE1,489.3457736813366
sw_UnE2,499.69915298156087
sw_UnE3,510.10995208234095
sw_UnF1,522.9041037061927
sw_UnF2,533.3793517075967
sw_UnF3,543.6557400070756
sw_UnG1,561.9758262844204
sw_UnG2,571.347574675142
sw_UnG3,582.1796049799998
sw_UnH1,597.9715733328715
sw_UnH2,608.3112897329635
sw_UnH3,617.9720040264825
sw_UnI1,632.7011414690655
sw_UnI2,643.8604730770917
sw_UnI3,654.6709380817407
sw_UnJ1,671.0252439400559
sw_UnJ2,681.3870241403615
sw_UnJ3,690.2775070264245
