label,lsl_time
sw_F1T1,7606.294594047572
sw_U1,7626.449367983649
sw_F2T1,7643.481393729628
sw_U2,7659.106680680071
sw_U3,7671.504869140747
sw_F3T1,7684.84726339843
sw_U4,7699.9838994504225
sw_F2T2,7711.954418412455
sw_U5,7722.7161437783225
sw_F4T1,7734.319162441522
sw_F1T2,7746.214065303795
sw_U6,8180.045322927831
sw_U7,8232.103754662718
sw_F1T3,8247.004466315459
sw_U8,8259.115954077046
sw_F5T1,8281.856104104922
sw_F4T2,8296.396781058804
sw_U9,8314.556047401209
sw_U10,8329.90145415254
sw_F5T2,8348.775752792675
sw_U11,8365.422463139877
sw_U12,8379.04876669666
sw_F3T2,8394.273051248374
sw_F2T3,8415.59375438075
sw_U13,8451.236007967706
sw_F4T3,8467.838572315048
sw_U14,8483.188329566365
sw_U15,8500.104642012711
sw_F1T4,8514.086843568364
sw_F4T4,8540.221803485474
sw_U16,8554.685621239598
sw_F2T4,8573.078580381263
sw_U17,8584.88400174382
sw_U18,8598.417477600897
sw_F5T3,8621.884654326468
sw_U19,8635.730228182554
sw_F3T3,8646.542194548261
sw_F4T5,8661.466005700928
sw_U20,8676.28726385392
sw_F2T5,8688.150480216294
sw_F1T5,8701.17336527499
sw_U21,8723.803923303212
