condition,T8_mean,T8_median,T8_max,T8_min,T8_ptp,T8_std,T8_skew,T8_auc,T8_kurtosis,P7_mean,P7_median,P7_max,P7_min,P7_ptp,P7_std,P7_skew,P7_auc,P7_kurtosis,P8_mean,P8_median,P8_max,P8_min,P8_ptp,P8_std,P8_skew,P8_auc,P8_kurtosis,O2_mean,O2_median,O2_max,O2_min,O2_ptp,O2_std,O2_skew,O2_auc,O2_kurtosis,Cz_mean,Cz_median,Cz_max,Cz_min,Cz_ptp,Cz_std,Cz_skew,Cz_auc,Cz_kurtosis
Mov,12.042335736868363,12.591959148267051,26.342668206780218,-2.738052444328787,29.080720651109004,8.036586718409913,-0.1085427734657314,1.2147823397471478,2.2208260062199576,9.882191728995448,10.9750135379727,15.285253539332189,0.5750646892010991,14.71018885013109,4.3572197909809995,-0.5454137904324184,0.9969341126897092,2.0410443725283267,-15.343872160673737,-17.534616745251697,-1.8331511455471627,-24.08691761957016,22.253766474022996,7.081779654021616,0.7097931779749711,-1.5335341472509971,2.0811847123913694,2.53577609153301,3.5214268336858368,11.815478501375765,-11.402239579183515,23.21771808055928,7.515932960717384,-0.5302067131397545,0.24020920522437145,1.9230020256262796,-3.1344474218887908,-3.3473585290266783,2.946123913716292,-9.335865797766019,12.28198971148231,3.828589515876144,-0.11044346798159542,-0.33352141151201165,1.8096323348956591
Mov,16.3165427081297,13.684478290088009,33.162967156386,2.0995078102714615,31.06345934611454,9.232008660433891,0.5086252108338504,1.6199158283985795,2.151850750302753,3.733491595880878,4.027946715723374,11.30328109866241,-3.7670274650736246,15.070308563736035,4.165052683236916,-0.04604674181439538,0.3856831553269537,2.201107377530011,-15.465288671433742,-12.908276403322816,-3.2739583275542827,-40.745311707723886,37.4713533801696,9.24119687861283,-1.0813186098751746,-1.5142943045403914,3.755067583974035,3.139535780204684,3.4471206618036376,14.350915989780333,-10.61374041455565,24.964656404335983,6.280724583809423,-0.25017219461523593,0.3384319484664964,3.069814324640994,-0.5429022061994496,-0.786577288636181,4.667314897233155,-6.096951892686775,10.76426678991993,2.9420381441662693,0.19472476595566518,-0.06005454662113785,2.150185424338947
Mov,-13.43159235252992,-7.837394150556065,0.9220220249517297,-38.69266583933495,39.61468786428668,12.002364459677835,-0.8129971238607167,-1.3299249152319441,2.4789277725047585,-5.358012379894297,-7.643668595846975,10.560500413703267,-18.1323030119529,28.692803425656166,8.50220027928015,0.3248417234102665,-0.559222859785759,1.9768332005845792,3.4745844984102474,4.667578650696669,11.158461347804405,-17.53378273861017,28.692244086414576,6.5922391639433355,-1.7041328697425386,0.3872328587717621,6.331690577905724,31.745519230788396,40.99018588021863,77.48113421257585,-17.246080460608937,94.72721467318479,31.744332510139945,-0.26942368067420097,3.168390331173366,1.4736114720310363,1.2912278420502004,0.5488520287144638,12.753573173540644,-5.093139861855889,17.846713035396533,4.977330081646094,1.0392917848316108,0.14293490891987856,3.3932508499588985
Fam,46.95409944151134,50.347312935628,56.937373301479965,22.308460756903514,34.62891254457645,9.139291254154852,-1.587968974358833,4.7373093304732645,4.826802471627418,-36.27394919301598,-38.30848618235905,-25.30183883209247,-46.31951742339879,21.01767859130632,6.380360932831656,0.29779427096991246,-3.6495165699147676,1.867639242847159,5.844050261425939,4.0690390505915275,24.985696654766798,-4.326793259679107,29.312489914445905,7.319949873670318,1.0345146330572423,0.5381433701277599,3.687419082049342,6.580568333666074,3.7425802474899683,25.16343920433428,-0.36986929785598477,25.533308502190266,7.054434110809314,1.5860137856686964,0.6425238030303999,4.445543441132316,-28.177790087423862,-27.16019571380457,-21.010246200603433,-35.69211548892781,14.681869288324378,5.009938562277891,-0.012162550437863262,-2.8055636689660095,1.494628198277856
Unf,-36.8728395607412,-35.20127575029619,-21.245172320050187,-63.53111530188471,42.28594298183452,11.430022752108291,-0.8344197853364917,-3.7291587925058294,3.100153560352536,17.6059358042179,18.91693227662472,25.62663212302141,6.339396804833086,19.287235318188323,5.162262824611719,-0.6521560886083085,1.7684333659460942,2.570355305115891,-1.7936921188685608,3.3397988090655417,17.483311239629984,-36.76234700833447,54.24565824796446,15.258964064662022,-0.7220347836977458,-0.13456475920091077,2.4162396268246025,47.65581341486653,53.08588697516825,83.0078570288606,-7.946474397613201,90.9543314264738,27.178882618901348,-0.6319062757503041,4.826042467143397,2.2796635315962757,-3.5382750131527874,-1.5574308918075985,1.8934222225652775,-15.789613826200366,17.683036048765643,5.169407457517519,-1.1033194682857002,-0.3222726607860801,3.2500933058143073
Fam,-10.70524355712293,-14.06904175382806,13.298646990733687,-27.201278498978354,40.49992548971204,10.799371223092338,0.7184923447567508,-1.1042688902850941,2.7959684522567088,3.144164995164763,1.9639788035874517,14.589811144105624,-9.885387953545433,24.475199097651057,7.749895541291248,0.004820418683263189,0.3222420288145745,1.747204744989041,-0.7964862743706865,-1.3037204098509392,6.871720870549325,-6.497449248854537,13.369170119403861,3.4442550273051316,0.46754984540754896,-0.06958908155871689,2.805942325353484,6.036963855448308,7.993623285074136,16.317126210196875,-14.455401469604112,30.772527679800987,8.404766725576502,-0.8317596041834265,0.6528493705478338,3.013304852464336,4.75018651367411,5.590236469288357,11.778475709434133,-3.9562642086821143,15.734739918116247,3.870507613982282,-0.15867812087464106,0.48670678890414776,2.469934908435951
Unf,7.513956839434199,5.286256055114791,44.51824861462228,-34.20560824451968,78.72385685914196,21.453038023759532,-0.19843025168636377,0.759232262150437,2.948116093561088,2.509546555383115,0.7759113174188315,13.935539755038917,-7.416584594466258,21.352124349505175,6.518411580439592,0.19843940846017213,0.24341067969546645,1.773498417574222,-8.821965116987066,-18.106979041476734,33.21340773254633,-25.86570735729765,59.07911508984398,17.895749794646637,1.313642419713376,-0.9613193726065682,3.3595704768436603,-33.78982627675843,-30.227924980863463,27.11838169489056,-89.25497968448326,116.37336137937382,39.95214275758085,0.01948302242248642,-3.3781148798775087,1.5616259299430242,10.050233097302907,14.132121123111574,17.500615285825916,0.035447236257368786,17.465168049568547,6.5234755893407055,-0.4169563377498503,1.0133852892169943,1.2927098187335462
Unf,141.67771027692092,133.97420843830332,252.7288452256471,69.70729737076908,183.021547854878,48.10505935625443,0.6403247576435018,14.03347568088341,2.797041791364022,36.15453449758486,35.85597914934624,54.18203727458604,26.373825676273555,27.808211598312482,7.704340289786831,0.9060126443061313,3.60695027930739,3.170461416928063,-39.81056904824352,-46.61053571908269,17.368218323099427,-56.396984291495755,73.76520261459518,18.735056911802253,1.9823188316829308,-4.0614759272722285,6.192844166044104,-160.81225546188833,-154.52029765583575,-52.18572914600372,-310.22774055600166,258.04201140999794,81.30884004794378,-0.19823126567278002,-15.935904012582046,1.5980256686544414,-2.7753864494811227,3.4919457903015427,13.404328456090298,-33.8920799549669,47.2964084110572,14.923949257499203,-0.8154455454363418,-0.24667797584490392,2.246576763145424
Fam,-13.730356525999154,-14.420191746467026,10.034411388915032,-24.32999826851301,34.36440965742804,7.86319686279824,1.4653973554597,-1.4145200702298453,5.703855599077843,23.200209957744498,23.329973373620305,30.268343834904954,15.533873011008836,14.734470823896118,4.270177827458669,-0.04525271394118478,2.3113767941636816,1.9907433092396802,10.448595587101513,13.08759419771377,45.84748967317864,-37.68035094253719,83.52784061571583,26.507425831582037,-0.36083488558596555,1.0938659708207672,1.9173114120609855,-27.4449346831646,-32.370024200645275,21.949890651740134,-56.27529390039854,78.22518455213867,21.154221686860375,0.804365403171596,-2.7803665494480896,2.8114502200579228,5.045880949585178,7.172258165155654,14.02536054229131,-7.913446097518317,21.938806639809627,7.027783755041598,-0.709811071810394,0.5159436446807245,2.1129821351553075
Unf,-10.899255825117612,-7.381603836620343,8.123566658468917,-55.37303877645172,63.49660543492064,16.791817939283735,-1.3922977532067113,-0.9936314383202193,4.422079323869798,-37.982385247932356,-36.09416671679355,-24.5260580413742,-59.129288274561986,34.60323023318779,8.658557720936837,-0.9692659473605479,-3.8201266699862497,3.4659871198262504,-14.379013858974059,-16.295724890369456,9.964326636691112,-29.65082057926338,39.615147215954494,11.845602359961227,0.7229658354230811,-1.4707314383973296,2.532782232617915,93.01621321355924,91.28869351116009,119.70377818215638,71.37978536775336,48.32399281440303,14.268059536216434,0.2965375325761559,9.256464797809565,1.949474823308378,-50.261424313738154,-50.50484287494328,-39.54026396968402,-58.79753007320687,19.257266103522852,5.2416727445755225,0.4378045080446262,-4.995134808978834,2.448442280771049
